iter	Passed	Remaining
525	14808	7713
526	14836	7685
527	14863	7656
528	14890	7628
529	14918	7600
530	14945	7571
531	14973	7542
532	15001	7514
533	15028	7486
534	15055	7457
535	15082	7428
536	15110	7400
537	15138	7372
538	15165	7343
539	15193	7315
540	15220	7286
541	15247	7257
542	15276	7230
543	15306	7203
544	15337	7176
545	15366	7148
546	15393	7119
547	15421	7091
548	15448	7063
549	15476	7034
550	15503	7005
551	15531	6977
552	15558	6949
553	15585	6920
554	15612	6892
555	15640	6863
556	15667	6835
557	15694	6806
558	15721	6778
559	15750	6750
560	15777	6721
561	15805	6693
562	15833	6665
563	15861	6637
564	15888	6608
565	15915	6579
566	15942	6551
567	15969	6522
568	15997	6494
569	16024	6466
570	16052	6437
571	16079	6409
572	16107	6381
573	16133	6352
574	16161	6323
575	16188	6295
576	16215	6266
577	16242	6238
578	16269	6210
579	16298	6182
580	16325	6153
581	16352	6125
582	16382	6097
583	16412	6070
584	16440	6042
585	16470	6014
586	16498	5986
587	16526	5958
588	16553	5930
589	16580	5901
590	16608	5873
591	16634	5844
592	16661	5816
593	16689	5787
594	16715	5759
595	16743	5730
596	16769	5702
597	16799	5674
598	16829	5647
599	16856	5618
600	16883	5590
601	16911	5562
602	16939	5534
603	16966	5505
604	16994	5477
605	17020	5448
606	17048	5420
607	17075	5392
608	17102	5363
609	17129	5335
610	17156	5306
611	17183	5278
612	17212	5250
613	17240	5222
614	17267	5194
615	17295	5166
616	17323	5137
617	17350	5109
618	17377	5081
619	17416	5056
620	17460	5032
621	17497	5007
622	17529	4980
623	17560	4952
624	17590	4925
625	17617	4896
626	17645	4868
627	17672	4840
628	17700	4811
629	17727	4783
630	17755	4755
631	17782	4727
632	17810	4698
633	17838	4670
634	17865	4642
635	17893	4613
636	17920	4585
637	17948	4557
638	17975	4529
639	18002	4500
640	18030	4472
641	18059	4444
642	18086	4416
643	18113	4387
644	18140	4359
645	18168	4331
646	18195	4302
647	18223	4274
648	18251	4246
649	18278	4218
650	18305	4189
651	18332	4161
652	18360	4133
653	18388	4105
654	18419	4077
655	18447	4049
656	18475	4021
657	18502	3992
658	18529	3964
659	18557	3936
660	18585	3908
661	18616	3880
662	18646	3853
663	18677	3825
664	18705	3797
665	18731	3768
666	18758	3740
667	18786	3712
668	18813	3683
669	18842	3656
670	18870	3627
671	18897	3599
672	18925	3571
673	18952	3543
674	18979	3514
675	19007	3486
676	19034	3458
677	19060	3429
678	19088	3401
679	19116	3373
680	19143	3345
681	19170	3316
682	19197	3288
683	19224	3260
684	19252	3232
685	19279	3203
686	19309	3176
687	19336	3147
688	19364	3119
689	19391	3091
690	19419	3063
691	19447	3035
692	19474	3006
693	19501	2978
694	19529	2950
695	19556	2922
696	19584	2894
697	19611	2865
698	19639	2837
699	19667	2809
700	19694	2781
701	19725	2753
702	19757	2726
703	19787	2698
704	19815	2670
705	19843	2642
706	19871	2613
707	19898	2585
708	19925	2557
709	19953	2529
710	19980	2501
711	20007	2472
712	20034	2444
713	20062	2416
714	20089	2388
715	20117	2360
716	20143	2331
717	20171	2303
718	20199	2275
719	20225	2247
720	20252	2219
721	20279	2190
722	20306	2162
723	20334	2134
724	20361	2106
725	20389	2078
726	20416	2050
727	20443	2021
728	20471	1993
729	20499	1965
730	20526	1937
731	20553	1909
732	20580	1881
733	20607	1852
734	20634	1824
735	20661	1796
736	20687	1768
737	20716	1740
738	20743	1712
739	20770	1684
740	20801	1656
741	20833	1628
742	20865	1600
743	20895	1572
744	20921	1544
745	20948	1516
746	20975	1488
747	21002	1460
748	21029	1431
749	21056	1403
750	21083	1375
751	21111	1347
752	21138	1319
753	21165	1291
754	21193	1263
755	21220	1235
756	21249	1207
757	21276	1178
758	21304	1150
759	21331	1122
760	21358	1094
761	21385	1066
762	21413	1038
763	21441	1010
764	21468	982
765	21495	954
766	21522	926
767	21549	897
768	21577	869
769	21604	841
770	21632	813
771	21659	785
772	21685	757
773	21714	729
774	21741	701
775	21768	673
776	21796	645
777	21823	617
778	21852	589
779	21879	561
780	21909	533
781	21941	505
782	21971	477
783	21998	448
784	22026	420
785	22052	392
786	22080	364
787	22107	336
788	22135	308
789	22163	280
790	22190	252
791	22217	224
792	22245	196
793	22272	168
794	22299	140
795	22326	112
796	22354	84
797	22381	56
798	22408	28
799	22435	0
